Project	Version	TQI	Functional_Suitability	Performance_Efficiency	Compatibility	Usability	Reliability	Security	Maintainability	Portability	Bad_Function	Comprehensibility	Redundancy	Structurdness	Assignment	Resource_Handling	Cohesion	Coupling	Complexity	Messaging	Encapsulation	Pattern_Structural_Integrity	Pattern_Behavioral_Integrity	Pattern_Instability	Pattern_Structural_Aberrations	Pattern_Behavioral_Aberrations	
guava	0	0.8409278811116178	0.8346529615597055	0.8431091116481925	0.8391263301244493	0.8614593020101009	0.8577406050110793	0.8193367427968551	0.8328268206448222	0.8400163468288424	1.0	1.0	1.0	1.0	1.0	1.0	0.7930877724371213	0.605741454356924	0.7205916370396195	0.7188392918707831	0.929563278657299	1.0	0.8852459016393442	0.5149391856160761	1.0	0.459025	
guava	10	0.8073001444640904	0.8048769872447247	0.8142839098531268	0.7990898481858055	0.8295364716943224	0.8251864172401612	0.7794828180080046	0.8024069640615908	0.7973407474445104	1.0	1.0	1.0	1.0	1.0	1.0	0.6647110740337151	0.45241191068682335	0.6087720098370742	0.6727851004587195	0.7785240129596854	1.0	0.8382352941176471	0.5783325426944971	1.0	0.476125	
guava	11	0.7969310510922512	0.7947290643503503	0.8028147863380672	0.7861934677578257	0.8203385864493733	0.8163657835014981	0.7670179283524303	0.7925962886781209	0.7860143313625451	1.0	1.0	1.0	1.0	1.0	1.0	0.629283103199658	0.3902274247264555	0.603115670260685	0.6426457065101663	0.7664719907872045	1.0	0.826530612244898	0.5743361860873384	1.0	0.4677	
guava	12	0.7931461967971625	0.7904741754265869	0.7985254675915207	0.7815802670780094	0.8176182954825069	0.8123360819927602	0.7620008890197733	0.7899021213151223	0.781918627965438	1.0	1.0	1.0	1.0	1.0	1.0	0.5922856801091052	0.3781025193594492	0.586842223733508	0.6281611246104961	0.7744442555449942	1.0	0.8266666666666667	0.5791935483870969	1.0	0.466675	
guava	13	0.792122267385955	0.7893592489138932	0.7977741693494852	0.7805663435860106	0.8164731241975032	0.8113914736337131	0.7608870523781851	0.7892717897469599	0.7805791677688092	1.0	1.0	1.0	1.0	1.0	1.0	0.5923413849226691	0.3828927311676099	0.5829115725818381	0.6209208217294463	0.771038677745986	1.0	0.8301282051282051	0.5779052936311002	1.0	0.45994999999999997	
guava	14	0.7924185044218348	0.7895340060911686	0.7978817896620616	0.7809196923465975	0.8168930586709426	0.8117119347358808	0.7611646311988519	0.7894188377599933	0.7812329596446815	1.0	1.0	1.0	1.0	1.0	1.0	0.5932987708412614	0.38531499631652744	0.5835063541876635	0.6215275021293987	0.7779640832697665	1.0	0.8270440251572327	0.5713126394806252	1.0	0.46385	
guava	15	0.7928209591724912	0.789908818781434	0.7985062979527099	0.7814087372281691	0.8175296932796203	0.8117412584687863	0.7613895422054576	0.7900908056145588	0.781285088458099	1.0	1.0	1.0	1.0	1.0	1.0	0.5909525729236745	0.38805977749788667	0.5777447866869931	0.621141170135427	0.7765994313679678	1.0	0.8364779874213837	0.570653276526679	1.0	0.46385	
guava	16	0.7922072783168298	0.789369813991273	0.7979260939672237	0.7807431824746778	0.816961534504262	0.8111841334146624	0.760723679282752	0.7893494400859924	0.7806565311570381	1.0	1.0	1.0	1.0	1.0	1.0	0.58899796308065	0.38540665876785296	0.5769138999135062	0.6224224198285846	0.7746510772943973	1.0	0.8333333333333334	0.5706025562994524	1.0	0.46385	
guava	17	0.7935221107039588	0.7908555818300727	0.7994100809641123	0.7821138272286441	0.8180953074599093	0.8123431615335817	0.7622209629386205	0.7906852312331214	0.7817058650813795	1.0	1.0	1.0	1.0	1.0	1.0	0.5942469297728665	0.39090470839458313	0.5789895368527929	0.6248926875695079	0.770088988457333	1.0	0.839622641509434	0.5703489551633193	1.0	0.465425	
guava	18	0.7934618618140364	0.7908039617671159	0.799396806369373	0.7820760158853914	0.8180503974201995	0.8122568823477951	0.7621501077438535	0.7906182136074512	0.7816220978124472	1.0	1.0	1.0	1.0	1.0	1.0	0.5940098714837253	0.3910116479211296	0.5781862848213254	0.6252511010098176	0.7696546099058613	1.0	0.839622641509434	0.5703489551633193	1.0	0.465425	
guava	19	0.7932863086682864	0.7906200506037006	0.799243099386944	0.78187054310689	0.8178795285357245	0.8120907359072699	0.7619345638134869	0.7905011760877804	0.7814076229324748	1.0	1.0	1.0	1.0	1.0	1.0	0.5934810748030606	0.3909488421674435	0.5774035535008644	0.6242253695833102	0.769499095649713	1.0	0.839622641509434	0.5701967944816394	1.0	0.465425	
guava	1	0.8324821963062898	0.826445819206724	0.8361774675178246	0.830727169555994	0.853628549509768	0.8493816584631194	0.8097783836129613	0.8241027513647757	0.8312596955335773	1.0	1.0	1.0	1.0	1.0	1.0	0.7717766821022523	0.5378624792000968	0.6834184005392612	0.723119726839111	0.9178234960362583	1.0	0.845679012345679	0.5591397849462365	1.0	0.46605	
guava	2	0.827602202536989	0.8213889254412086	0.8315631501671692	0.8249853057242009	0.8494549676874806	0.8443662013985086	0.8036098366387094	0.8205117364208423	0.8254393909573577	1.0	1.0	1.0	1.0	1.0	1.0	0.7423506894267159	0.5147782284408522	0.6606601979140823	0.7057874465186157	0.9140346913371065	1.0	0.8444444444444444	0.5738351254480286	1.0	0.466675	
guava	3	0.822704637373298	0.816809867501218	0.8266947021494102	0.8192010419140603	0.8450335976677507	0.8397646353291833	0.7979008601544555	0.8157544717450762	0.8198404787192195	1.0	1.0	1.0	1.0	1.0	1.0	0.717941726335241	0.49570714186292053	0.6515039657706181	0.7011248008660558	0.9000180708534047	1.0	0.835	0.5780645161290323	1.0	0.4625	
guava	4	0.8211457832516318	0.8161656932884672	0.8258751366600959	0.8170272174360114	0.8434037675524851	0.8383838022996746	0.7960336294222784	0.8139032074710209	0.8170330786851252	1.0	1.0	1.0	1.0	1.0	1.0	0.7220606637234007	0.4969598620310362	0.6475937296095133	0.7033332833848474	0.8747077159802066	1.0	0.8380952380952381	0.5601382488479263	1.0	0.46905	
guava	5	0.8239553604405125	0.8192755668880581	0.8279142348072012	0.8193745174872904	0.8466663637509324	0.840688144562117	0.7988097150868319	0.8166709973259457	0.8193634084540693	1.0	1.0	1.0	1.0	1.0	1.0	0.7134714080949591	0.48336326508441435	0.6592756524767114	0.7123160468628391	0.8685232944849997	1.0	0.86	0.5732903225806452	1.0	0.46799999999999997	
guava	6	0.8061092740294074	0.8037579242994115	0.813403535156805	0.797687286673003	0.828328383392873	0.8241441233900021	0.7780220830508393	0.8016246318376357	0.7954704505450267	1.0	1.0	1.0	1.0	1.0	1.0	0.6681715698989333	0.45281760190657905	0.6052171802215636	0.663319176724571	0.7703901571227998	1.0	0.8484848484848485	0.5715420332355815	1.0	0.4697	
guava	7	0.8066803681216546	0.804321283604012	0.8138886496935893	0.798463160280664	0.8287231888511973	0.824791049768593	0.7788793616943246	0.8018694647762482	0.7964401689345845	1.0	1.0	1.0	1.0	1.0	1.0	0.6716245674480291	0.4509385216544054	0.6092224753294673	0.6682152317966044	0.7730578363482223	1.0	0.8419117647058824	0.5764943074003794	1.0	0.4706	
guava	8	0.8068607003781609	0.8045549350670808	0.8140593290487407	0.7986547378291149	0.8288934825864986	0.8249521057821769	0.779110384526858	0.8019597412445623	0.7966188210316621	1.0	1.0	1.0	1.0	1.0	1.0	0.6716581850197727	0.4515037734375795	0.6102421616734318	0.6700431523286223	0.7719752034704994	1.0	0.8419117647058824	0.5764943074003794	1.0	0.4706	
